ID,inDegree_Q1,inDegree_Q2,inDegree_Q3,inDegree_Q4,inDegree_Q5,inDegree_Q6,inDegree_Q7,inDegree_Q8
201,1,1,1,1,1,1,1,1
202,1,0,0,0,0,1,0,1
203,1,1,0,1,1,1,0,0
204,6,5,2,3,3,4,4,3
205,5,2,0,2,2,2,1,1
206,7,4,5,3,4,4,6,11
207,0,0,0,0,0,0,0,1
208,10,7,4,2,4,6,4,6
209,0,1,1,1,1,1,1,3
210,10,9,5,3,5,7,6,9
211,6,8,4,6,6,5,5,5
212,0,0,0,0,0,0,0,0
213,5,3,3,3,2,2,5,3
214,5,6,2,2,3,3,2,2
215,2,2,0,1,2,2,1,2
216,0,0,0,0,0,0,0,0
217,8,7,5,5,7,6,6,9
218,9,6,2,0,2,2,0,3
219,1,2,0,0,0,0,0,0
220,3,2,1,1,1,0,1,2
221,4,3,2,3,2,2,2,1
222,1,0,0,0,0,1,0,0
223,1,1,1,1,1,1,1,3
224,6,7,2,3,4,2,1,2
225,2,2,0,0,3,4,1,2
226,5,5,4,1,4,2,1,2
227,4,3,2,2,3,3,2,2
228,8,6,4,1,4,3,6,4
229,6,6,2,2,4,2,0,3
230,2,1,1,1,1,0,0,2
231,1,1,1,1,1,1,1,1
232,2,2,1,1,1,1,1,1
233,2,3,2,1,2,2,4,1
234,4,4,1,2,3,2,3,2
235,1,0,1,0,0,1,0,1
236,3,4,1,1,2,1,1,3
237,1,0,0,0,0,1,0,0
238,7,7,3,3,3,1,1,2
239,5,4,2,3,5,3,3,9
240,3,3,0,1,1,1,3,1
241,2,2,0,0,0,0,0,2
242,3,3,1,1,3,2,0,2
243,4,5,4,3,4,4,3,5
244,4,3,1,1,2,3,3,2
245,6,5,3,3,4,6,5,6
246,0,0,0,0,0,0,0,0
301,5,4,1,2,4,3,1,3
302,3,3,1,1,2,3,1,3
303,4,4,5,2,4,4,3,3
304,4,4,2,2,2,1,1,3
305,5,2,1,1,2,2,0,3
306,2,1,0,0,2,2,0,3
307,2,2,1,2,2,2,2,3
308,4,4,2,2,3,3,1,2
309,8,6,1,3,5,4,3,3
310,5,4,0,1,5,1,4,4
311,9,6,4,7,8,9,9,8
312,4,3,1,1,2,3,2,3
313,2,2,1,0,0,0,1,1
314,4,5,3,2,5,5,2,0
315,5,4,1,2,2,1,3,3
316,15,10,5,4,7,11,11,12
317,5,5,0,1,1,1,3,4
318,3,1,0,0,1,0,0,2
319,0,0,0,0,0,0,0,0
320,1,1,1,1,2,1,0,3
321,2,4,1,2,1,2,0,0
322,0,0,0,0,0,1,1,0
323,1,1,1,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,1,1,1,0,1,0,0,0
326,3,3,0,2,2,2,1,2
327,9,8,4,3,5,6,4,4
328,6,6,4,4,4,3,1,4
329,2,2,2,2,2,2,1,1
330,6,6,2,2,5,7,10,9
331,4,4,3,3,4,3,5,4
332,2,3,0,1,1,1,0,3
333,6,5,3,2,5,6,1,4
334,2,2,1,1,1,1,0,0
335,6,8,0,2,3,2,0,2
336,5,2,1,1,2,1,2,2
337,11,11,6,5,9,5,0,6
338,14,10,3,5,6,5,3,3
339,1,1,1,0,0,0,0,1
340,4,1,2,2,2,2,0,0
341,3,3,0,0,1,0,0,1
342,7,5,3,2,4,2,1,7
343,1,1,0,1,1,1,2,1
344,8,8,4,2,6,5,1,8
345,1,1,1,1,1,2,1,1
346,6,7,3,6,6,5,5,6
347,9,8,2,6,4,9,8,5
348,7,5,3,3,6,5,2,8
349,4,4,1,2,3,3,3,4
350,1,2,2,2,2,2,2,3
351,9,6,3,2,5,5,4,6
