block,trial,role,person_name,person_num,trialtype_name,trialtype_num,outcome_name,outcome_num,human_response_name,human_response_num,cue_value,uparrow_rightside,chose_higher,rt,target_number,outcome_amount,outcome_string,total_outcome_amount,blockcue_onset,blockcue_duration,cue_onset,cue_duration,target_onset,target_duration,outcome_onset,outcome_duration
0,1,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,1.0476,9,0,$0.00,0,0,0,12.0067,2.2433,14.2616,1.9889,16.2595,1.9906
0,2,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.89412,7,0,$0.00,0,0,0,22.2588,1.9913,24.2509,1.9992,26.2506,1.9994
0,3,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.75872,9,0,+$0.00,0,0,0,30.2604,2.2397,32.5006,1.9994,34.5007,1.9994
0,4,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.60725,2,5,+$5.00,5,0,0,40.508,1.992,42.5006,1.9994,44.5006,1.9994
0,5,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,1.0177,8,5,+$5.00,10,0,0,48.5081,2.242,50.7509,1.9992,52.7506,1.9994
0,6,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.66739,1,0,$0.00,10,0,0,58.7591,2.4909,61.2506,1.9995,63.2512,1.9988
0,7,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.94942,7,0,$0.00,10,0,0,69.2576,1.9925,71.2505,1.9995,73.251,1.9991
0,8,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.93296,3,5,+$5.00,15,0,0,77.2581,1.9919,79.2506,1.9995,81.2507,1.9993
0,9,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.68312,9,5,+$5.00,20,0,0,85.2575,1.9925,87.2509,1.9992,89.2506,1.9994
0,10,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,0,0.883,2,5,+$5.00,25,0,0,97.2583,2.2417,99.5006,1.9995,101.5006,1.9994
0,11,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.49406,6,0,$0.00,25,0,0,105.5083,2.4918,108.0006,1.9995,110.0007,1.9994
0,12,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.84034,3,0,$0.00,25,0,0,118.0091,1.9909,120.0006,1.9995,122.0006,1.9994
0,13,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.639,3,0,$0.00,25,0,0,130.0076,2.2424,132.2506,1.9995,134.2507,1.9993
0,14,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.59711,1,0,$0.00,25,0,0,142.2581,2.4919,144.7506,1.9995,146.7509,1.9991
0,15,YOU,self,1,plus5,1,correct,1,hit,1,+$5,1,1,0.5341,8,5,+$5.00,30,0,0,150.7585,1.9915,152.7506,1.9994,154.7509,1.9991
0,16,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.52912,1,0,+$0.00,30,0,0,162.758,2.492,165.2506,1.9994,167.2506,1.9994
0,17,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,0,0.68408,3,0,+$0.00,30,0,0,175.2577,2.2423,177.5006,1.9994,179.5007,1.9994
0,18,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,0,0,0.8712,7,0,$0.00,30,0,0,187.5077,2.4923,190.0006,1.9994,192.0006,1.9994
0,19,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,0.56312,7,0,$0.00,30,0,0,200.0077,2.2423,202.2506,1.9995,204.2506,1.9994
0,20,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.55848,6,5,+$5.00,35,0,0,208.2578,2.2423,210.5006,1.9995,212.5007,1.9994
0,21,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,0,0.40172,9,0,$0.00,35,0,0,218.5084,1.9916,220.5006,1.9994,222.5007,1.9993
0,22,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,1,1,1.1843,2,0,$0.00,35,0,0,228.5092,2.2408,230.7506,1.9995,232.7506,1.9994
0,23,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.66063,3,5,+$5.00,40,0,0,238.7589,2.2411,241.0007,1.9994,243.0006,1.9994
0,24,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,1,0.58128,9,5,+$5.00,45,0,0,249.0081,2.4919,251.5006,1.9995,253.5006,1.9994
0,25,YOU,self,1,plus0,2,incorrect,0,hit,1,+$0,0,1,0.64175,1,0,$0.00,45,0,0,259.5077,2.4923,262.0009,1.9992,264.0007,1.9994
0,26,YOU,self,1,plus0,2,correct,1,hit,1,+$0,0,0,0.64924,1,0,+$0.00,45,0,0,270.0091,1.9909,272.0006,1.9995,274.001,1.9991
0,27,YOU,self,1,plus0,2,correct,1,hit,1,+$0,1,1,0.66555,9,0,+$0.00,45,0,0,278.0078,2.4922,280.5006,1.9995,282.5009,1.9991
0,28,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,1,0.7134,1,0,$0.00,45,0,0,290.508,2.4921,293.0006,1.9994,295.0006,1.9994
0,29,YOU,self,1,plus5,1,correct,1,hit,1,+$5,0,0,0.67223,2,5,+$5.00,50,0,0,299.0087,2.4913,301.5009,1.9992,303.5006,1.9994
0,30,YOU,self,1,plus5,1,incorrect,0,hit,1,+$5,1,0,1.1613,8,0,$0.00,50,0,0,307.5081,1.9919,309.5006,1.9995,311.5009,1.9991
